Ax	Ay	Az	p	q	r	mx	my	mz	
2.33	-2.64	-9.18	-0.47	0.21	3.11	-6.36	10.60	2.66	
2.33	-2.65	-9.18	-0.47	0.22	3.11	-6.36	10.60	2.66	
2.16	-2.70	-9.21	-0.43	0.23	3.18	-6.36	10.61	2.66	
2.06	-2.73	-9.24	-0.40	0.24	3.23	-6.36	10.61	2.66	
1.98	-2.75	-9.25	-0.38	0.24	3.26	-6.36	10.61	2.66	
1.94	-2.76	-9.26	-0.37	0.25	3.28	-6.36	10.61	2.66	
1.91	-2.65	-9.25	-0.38	0.26	3.30	-3.06	13.31	2.99	
1.90	-2.58	-9.24	-0.39	0.27	3.31	-0.92	15.06	3.20	
1.89	-2.54	-9.24	-0.39	0.28	3.32	0.47	16.20	3.33	
1.87	-2.59	-9.22	-0.38	0.30	3.23	1.38	16.94	3.42	
1.86	-2.63	-9.21	-0.38	0.31	3.17	1.97	17.43	3.48	
1.86	-2.65	-9.21	-0.38	0.32	3.13	2.35	17.74	3.52	
1.86	-2.67	-9.20	-0.37	0.32	3.11	2.60	17.94	3.54	
1.74	-2.75	-9.21	-0.38	0.33	3.08	2.76	18.08	3.56	
1.66	-2.80	-9.21	-0.38	0.33	3.07	2.87	18.16	3.57	
1.61	-2.83	-9.21	-0.38	0.34	3.06	2.94	18.22	3.57	
1.76	-2.38	-9.18	-0.37	0.33	2.99	2.98	18.25	3.58	
1.85	-2.08	-9.15	-0.37	0.33	2.94	3.01	18.28	3.58	
1.92	-1.89	-9.14	-0.37	0.33	2.92	3.03	18.29	3.58	
1.96	-1.77	-9.12	-0.37	0.33	2.90	3.04	18.30	3.58	
2.01	-1.77	-9.25	-0.31	0.29	2.73	3.05	18.31	3.59	
2.05	-1.77	-9.33	-0.26	0.27	2.63	3.05	18.31	3.59	
2.07	-1.76	-9.38	-0.24	0.25	2.56	3.06	18.32	3.59	
2.09	-1.76	-9.41	-0.22	0.24	2.51	3.06	18.32	3.59	
1.99	-1.23	-9.18	-0.13	0.19	2.30	3.06	18.32	3.59	
1.93	-0.89	-9.03	-0.08	0.15	2.16	3.06	18.32	3.59	
1.89	-0.67	-8.93	-0.04	0.13	2.07	3.06	18.32	3.59	
1.37	-2.36	-9.18	0.01	0.08	2.27	6.55	18.68	3.15	
1.03	-3.46	-9.34	0.05	0.06	2.39	8.81	18.91	2.87	
0.81	-4.17	-9.45	0.07	0.04	2.48	10.28	19.06	2.69	
0.67	-4.64	-9.52	0.08	0.03	2.53	11.24	19.15	2.57	
0.64	-4.12	-9.43	-0.01	0.06	3.03	11.86	19.22	2.50	
0.62	-3.79	-9.37	-0.07	0.09	3.35	12.27	19.26	2.45	
0.61	-3.57	-9.34	-0.12	0.10	3.56	12.53	19.28	2.41	
0.60	-3.43	-9.31	-0.14	0.11	3.70	12.70	19.30	2.39	
0.91	-2.91	-9.24	-0.23	0.30	3.76	12.81	19.31	2.38	
1.11	-2.57	-9.19	-0.28	0.42	3.80	12.88	19.32	2.37	
1.24	-2.35	-9.16	-0.32	0.49	3.83	12.93	19.32	2.36	
1.22	-2.25	-9.22	-0.36	0.61	3.37	12.96	19.33	2.36	
1.21	-2.19	-9.26	-0.39	0.69	3.07	12.98	19.33	2.36	
1.21	-2.15	-9.28	-0.41	0.74	2.88	12.99	19.33	2.36	
1.20	-2.12	-9.30	-0.43	0.77	2.75	13.00	19.33	2.35	
1.26	-2.01	-9.36	-0.43	0.76	2.21	13.01	19.33	2.35	
1.30	-1.94	-9.40	-0.43	0.76	1.86	13.01	19.33	2.35	
1.33	-1.90	-9.43	-0.44	0.75	1.64	13.01	19.33	2.35	
1.42	-1.89	-9.36	-0.37	0.68	1.07	13.01	19.33	2.35	
1.48	-1.89	-9.32	-0.33	0.63	0.70	13.02	19.33	2.35	
1.52	-1.89	-9.30	-0.31	0.60	0.47	13.02	19.33	2.35	
1.54	-1.89	-9.28	-0.29	0.57	0.31	13.02	19.33	2.35	
1.52	-2.01	-9.23	-0.23	0.47	-0.06	14.76	18.98	2.35	
1.50	-2.09	-9.19	-0.19	0.40	-0.29	15.89	18.75	2.35	
1.49	-2.15	-9.17	-0.16	0.36	-0.45	16.63	18.60	2.35	
1.38	-2.42	-9.21	-0.13	0.25	-0.75	17.11	18.50	2.35	
1.31	-2.59	-9.23	-0.11	0.19	-0.94	17.42	18.44	2.35	
1.26	-2.70	-9.24	-0.10	0.15	-1.07	17.62	18.40	2.35	
1.23	-2.78	-9.25	-0.10	0.12	-1.15	17.75	18.37	2.35	
0.95	-2.89	-9.25	-0.14	0.07	-1.42	17.84	18.35	2.35	
0.76	-2.96	-9.25	-0.16	0.04	-1.59	17.89	18.34	2.35	
0.64	-3.01	-9.25	-0.18	0.03	-1.70	17.93	18.34	2.35	
0.57	-3.04	-9.25	-0.19	0.01	-1.78	17.95	18.33	2.35	
0.81	-2.86	-9.33	-0.30	0.06	-1.80	17.97	18.33	2.35	
0.97	-2.74	-9.38	-0.38	0.10	-1.81	17.98	18.33	2.35	
1.07	-2.66	-9.42	-0.42	0.12	-1.82	17.98	18.32	2.35	
1.34	-2.01	-9.54	-0.54	0.17	-1.76	17.99	18.32	2.35	
1.52	-1.59	-9.62	-0.61	0.20	-1.71	17.99	18.32	2.35	
1.64	-1.31	-9.67	-0.66	0.22	-1.69	17.99	18.32	2.35	
1.71	-1.13	-9.70	-0.69	0.24	-1.67	17.99	18.32	2.35	
1.70	-1.75	-9.62	-0.67	0.22	-1.81	17.99	18.32	2.35	
1.69	-2.16	-9.57	-0.66	0.22	-1.90	17.99	18.32	2.35	
1.68	-2.42	-9.54	-0.65	0.21	-1.96	17.99	18.32	2.35	
1.64	-2.10	-9.68	-0.61	0.17	-1.90	17.99	18.32	2.35	
1.61	-1.89	-9.77	-0.59	0.14	-1.86	17.99	18.32	2.35	
1.60	-1.75	-9.82	-0.58	0.12	-1.83	17.99	18.32	2.35	
1.59	-1.66	-9.86	-0.57	0.11	-1.82	17.99	18.32	2.35	
2.86	-1.08	-9.48	-0.14	0.35	-2.70	15.26	18.06	4.94	
3.68	-0.70	-9.24	0.14	0.52	-3.28	13.48	17.88	6.63	
4.22	-0.46	-9.08	0.33	0.62	-3.66	12.32	17.77	7.72	
3.23	-2.29	-9.05	0.79	0.37	-3.90	11.57	17.70	8.43	
2.59	-3.47	-9.02	1.09	0.22	-4.06	11.08	17.65	8.90	
2.17	-4.25	-9.01	1.29	0.11	-4.16	10.76	17.62	9.20	
1.90	-4.75	-9.00	1.42	0.04	-4.23	10.56	17.60	9.39	
2.51	-3.45	-9.15	1.30	-0.04	-4.26	10.42	17.59	9.52	
2.90	-2.60	-9.25	1.23	-0.10	-4.28	10.33	17.58	9.60	
3.16	-2.05	-9.31	1.18	-0.14	-4.29	10.28	17.57	9.66	
2.91	-2.50	-9.31	1.22	-0.26	-4.14	10.24	17.57	9.69	
2.75	-2.80	-9.31	1.24	-0.34	-4.05	10.22	17.57	9.71	
2.64	-2.99	-9.31	1.26	-0.40	-3.99	10.20	17.57	9.73	
2.58	-3.12	-9.31	1.27	-0.43	-3.95	10.19	17.57	9.74	
2.60	-2.88	-9.39	1.01	-0.38	-3.55	10.19	17.56	9.74	
2.61	-2.73	-9.45	0.84	-0.34	-3.30	10.18	17.56	9.75	
2.62	-2.63	-9.49	0.73	-0.31	-3.13	10.18	17.56	9.75	
2.63	-2.56	-9.51	0.66	-0.30	-3.02	10.18	17.56	9.75	
2.63	-1.87	-9.45	0.40	-0.21	-2.83	10.18	17.56	9.75	
2.63	-1.42	-9.41	0.24	-0.16	-2.71	10.17	17.56	9.75	
2.63	-1.12	-9.38	0.13	-0.12	-2.62	10.17	17.56	9.76	
2.85	-1.06	-9.33	0.03	-0.06	-3.21	5.26	15.22	7.70	
3.00	-1.02	-9.29	-0.04	-0.02	-3.59	2.06	13.69	6.37	
3.09	-0.99	-9.27	-0.09	0.01	-3.83	-0.01	12.70	5.50	
3.16	-0.97	-9.26	-0.12	0.03	-3.99	-1.36	12.06	4.94	
3.20	-0.67	-9.13	-0.04	0.03	-4.12	-2.24	11.64	4.58	
3.22	-0.47	-9.05	0.01	0.03	-4.20	-2.81	11.37	4.34	
3.24	-0.34	-9.00	0.05	0.02	-4.25	-3.18	11.19	4.18	
3.50	-0.50	-9.03	0.33	0.04	-4.29	-3.42	11.07	4.08	
3.67	-0.61	-9.04	0.52	0.05	-4.31	-3.58	11.00	4.02	
3.77	-0.68	-9.05	0.64	0.06	-4.33	-3.68	10.95	3.97	
3.85	-0.73	-9.06	0.72	0.06	-4.34	-3.75	10.92	3.95	
3.52	-0.70	-9.06	0.99	0.02	-4.34	-3.79	10.90	3.93	
3.32	-0.68	-9.06	1.16	-0.01	-4.35	-3.82	10.89	3.92	
3.18	-0.67	-9.06	1.28	-0.03	-4.35	-3.84	10.88	3.91	
3.09	-0.66	-9.06	1.35	-0.04	-4.35	-3.85	10.87	3.90	
3.43	-1.16	-9.25	1.45	0.03	-4.35	-3.86	10.87	3.90	
3.65	-1.49	-9.38	1.51	0.08	-4.35	-3.86	10.87	3.90	
3.79	-1.70	-9.46	1.55	0.11	-4.35	-3.87	10.86	3.90	
3.96	-1.00	-9.31	1.10	0.14	-4.35	-3.87	10.86	3.90	
4.07	-0.55	-9.21	0.81	0.16	-4.35	-3.87	10.86	3.90	
4.15	-0.26	-9.15	0.62	0.17	-4.35	-3.87	10.86	3.90	
4.19	-0.06	-9.11	0.50	0.18	-4.35	-3.87	10.86	3.90	
3.93	-0.31	-9.16	0.19	0.07	-4.24	-6.48	6.88	4.54	
3.76	-0.46	-9.20	-0.02	-0.01	-4.17	-8.18	4.29	4.96	
3.65	-0.57	-9.22	-0.15	-0.06	-4.13	-9.29	2.61	5.24	
3.57	-0.63	-9.24	-0.24	-0.09	-4.10	-10.00	1.51	5.42	
3.67	-0.09	-9.25	-0.48	-0.11	-3.90	-10.47	0.80	5.53	
3.74	0.27	-9.26	-0.63	-0.12	-3.78	-10.77	0.34	5.61	
3.78	0.50	-9.27	-0.73	-0.13	-3.70	-10.97	0.04	5.66	
3.62	0.83	-9.13	-0.79	-0.17	-3.71	-11.10	-0.16	5.69	
3.52	1.05	-9.03	-0.83	-0.19	-3.72	-11.18	-0.28	5.71	
3.46	1.19	-8.97	-0.85	-0.21	-3.73	-11.24	-0.37	5.72	
3.41	1.28	-8.93	-0.87	-0.22	-3.73	-11.27	-0.42	5.73	
3.41	1.24	-8.95	-0.74	-0.21	-3.60	-11.30	-0.46	5.74	
3.41	1.22	-8.96	-0.65	-0.20	-3.52	-11.31	-0.48	5.74	
3.40	1.20	-8.97	-0.60	-0.20	-3.47	-11.32	-0.49	5.74	
3.31	1.19	-9.06	-0.54	-0.17	-3.50	-11.33	-0.50	5.74	
3.25	1.19	-9.11	-0.50	-0.16	-3.52	-11.33	-0.51	5.74	
3.21	1.18	-9.15	-0.47	-0.15	-3.53	-11.33	-0.51	5.74	
3.18	1.18	-9.18	-0.46	-0.14	-3.54	-11.33	-0.52	5.75	
3.14	1.29	-9.26	-0.46	-0.14	-3.30	-11.34	-0.52	5.75	
3.11	1.36	-9.31	-0.45	-0.14	-3.14	-11.34	-0.52	5.75	
3.09	1.41	-9.35	-0.45	-0.14	-3.04	-11.34	-0.52	5.75	
3.08	1.44	-9.37	-0.45	-0.14	-2.98	-11.34	-0.52	5.75	
3.05	1.51	-9.23	-0.50	-0.16	-2.77	-11.34	-0.52	5.75	
3.04	1.55	-9.14	-0.53	-0.18	-2.63	-11.34	-0.52	5.75	
3.03	1.58	-9.08	-0.56	-0.19	-2.54	-11.34	-0.52	5.75	
2.98	1.89	-9.10	-0.56	-0.11	-2.46	-10.22	-4.15	6.39	
2.94	2.10	-9.10	-0.57	-0.06	-2.40	-9.49	-6.51	6.81	
2.92	2.23	-9.11	-0.57	-0.03	-2.37	-9.02	-8.04	7.09	
2.90	2.31	-9.11	-0.58	-0.00	-2.35	-8.71	-9.04	7.27	
3.29	1.87	-9.33	-0.48	-0.01	-2.12	-8.51	-9.69	7.38	
3.54	1.58	-9.47	-0.43	-0.01	-1.98	-8.38	-10.11	7.46	
3.70	1.39	-9.56	-0.39	-0.02	-1.88	-8.29	-10.38	7.51	
3.52	1.36	-9.56	-0.45	-0.15	-1.72	-8.24	-10.56	7.54	
3.40	1.34	-9.57	-0.50	-0.24	-1.62	-8.20	-10.67	7.56	
3.33	1.33	-9.57	-0.52	-0.29	-1.55	-8.18	-10.75	7.57	
3.28	1.32	-9.57	-0.54	-0.33	-1.50	-8.17	-10.80	7.58	
2.99	1.60	-9.49	-0.71	-0.42	-1.38	-8.16	-10.83	7.59	
2.81	1.78	-9.44	-0.82	-0.48	-1.30	-8.15	-10.85	7.59	
2.69	1.90	-9.41	-0.89	-0.52	-1.25	-8.15	-10.86	7.59	
2.61	1.98	-9.39	-0.93	-0.54	-1.21	-8.14	-10.87	7.59	
2.72	2.23	-9.37	-0.99	-0.59	-0.98	-8.14	-10.88	7.60	
2.78	2.39	-9.36	-1.02	-0.63	-0.83	-8.14	-10.88	7.60	
2.83	2.49	-9.36	-1.04	-0.65	-0.73	-8.14	-10.89	7.60	
2.56	2.49	-9.19	-1.09	-0.71	-0.68	-8.14	-10.89	7.60	
2.39	2.49	-9.09	-1.12	-0.74	-0.65	-8.14	-10.89	7.60	
2.28	2.49	-9.02	-1.14	-0.77	-0.62	-8.14	-10.89	7.60	
2.20	2.49	-8.97	-1.15	-0.78	-0.61	-8.14	-10.89	7.60	
1.86	3.56	-8.59	-1.11	-0.78	-0.45	-7.39	-12.31	7.38	
1.64	4.25	-8.35	-1.08	-0.77	-0.35	-6.91	-13.23	7.24	
1.49	4.70	-8.19	-1.07	-0.77	-0.29	-6.59	-13.82	7.15	
1.42	4.59	-8.34	-0.88	-0.66	-0.33	-6.39	-14.21	7.09	
1.37	4.52	-8.43	-0.76	-0.58	-0.36	-6.25	-14.47	7.05	
1.34	4.48	-8.50	-0.68	-0.54	-0.37	-6.17	-14.63	7.03	
1.32	4.45	-8.54	-0.63	-0.51	-0.39	-6.11	-14.74	7.01	
1.43	4.17	-8.65	-0.54	-0.42	-0.45	-6.07	-14.81	7.00	
1.50	4.00	-8.72	-0.48	-0.36	-0.49	-6.05	-14.85	6.99	
1.54	3.88	-8.76	-0.44	-0.32	-0.52	-6.03	-14.88	6.99	
1.57	3.81	-8.79	-0.42	-0.29	-0.54	-6.02	-14.90	6.99	
1.31	3.40	-8.85	-0.40	-0.23	-0.43	-6.02	-14.91	6.98	
1.13	3.14	-8.88	-0.39	-0.19	-0.36	-6.01	-14.92	6.98	
1.02	2.97	-8.91	-0.39	-0.16	-0.32	-6.01	-14.93	6.98	
1.36	3.32	-8.87	-0.47	-0.11	-0.03	-6.01	-14.93	6.98	
1.59	3.55	-8.84	-0.52	-0.07	0.16	-6.01	-14.93	6.98	
1.74	3.70	-8.83	-0.56	-0.05	0.29	-6.01	-14.93	6.98	
1.83	3.80	-8.82	-0.58	-0.03	0.37	-6.01	-14.93	6.98	
1.79	3.69	-8.78	-0.57	-0.02	0.50	-6.01	-14.94	6.98	
1.76	3.62	-8.76	-0.56	-0.00	0.58	-6.00	-14.94	6.98	
1.75	3.57	-8.75	-0.55	0.00	0.64	-6.00	-14.94	6.98	
2.05	4.06	-8.80	-0.54	0.01	0.80	-5.32	-15.60	6.44	
2.25	4.38	-8.83	-0.54	0.01	0.91	-4.88	-16.03	6.09	
2.37	4.58	-8.85	-0.53	0.01	0.98	-4.59	-16.31	5.86	
2.46	4.72	-8.87	-0.53	0.01	1.02	-4.40	-16.49	5.71	
2.38	4.67	-8.89	-0.38	-0.01	0.91	-4.28	-16.61	5.62	
2.32	4.63	-8.91	-0.27	-0.03	0.84	-4.20	-16.69	5.55	
2.29	4.61	-8.92	-0.21	-0.04	0.80	-4.14	-16.74	5.51	
2.27	4.60	-8.93	-0.16	-0.05	0.77	-4.11	-16.77	5.49	
2.09	4.24	-8.96	-0.02	-0.05	0.77	-4.09	-16.79	5.47	
1.97	4.01	-8.98	0.07	-0.05	0.77	-4.08	-16.81	5.46	
1.90	3.86	-8.99	0.14	-0.05	0.77	-4.07	-16.82	5.45	
2.03	4.04	-8.84	0.21	-0.03	1.12	-4.06	-16.82	5.45	
2.12	4.15	-8.75	0.26	-0.01	1.35	-4.06	-16.83	5.44	
2.17	4.23	-8.69	0.29	0.00	1.50	-4.05	-16.83	5.44	
2.21	4.28	-8.65	0.32	0.01	1.60	-4.05	-16.83	5.44	
1.84	4.47	-8.58	0.50	0.02	2.03	-4.05	-16.83	5.44	
1.59	4.60	-8.53	0.62	0.03	2.31	-4.05	-16.83	5.44	
1.43	4.68	-8.50	0.70	0.03	2.49	-4.05	-16.83	5.44	
1.33	4.74	-8.48	0.75	0.03	2.61	-4.05	-16.83	5.44	
1.28	3.78	-8.41	1.11	0.10	0.18	-4.05	-16.83	5.44	
1.24	3.16	-8.37	1.34	0.15	-1.41	-4.05	-16.83	5.44	
1.22	2.75	-8.34	1.49	0.18	-2.44	-4.05	-16.83	5.44	
2.13	2.49	-8.63	1.82	0.28	-3.11	-6.54	-13.20	4.36	
2.72	2.31	-8.82	2.03	0.35	-3.55	-8.16	-10.84	3.66	
3.10	2.20	-8.94	2.17	0.40	-3.83	-9.21	-9.31	3.20	
3.35	2.13	-9.03	2.26	0.42	-4.01	-9.89	-8.31	2.90	
4.02	1.80	-9.25	2.45	0.25	-4.13	-10.33	-7.67	2.71	
4.45	1.59	-9.40	2.58	0.14	-4.21	-10.62	-7.25	2.59	
4.73	1.45	-9.50	2.66	0.07	-4.26	-10.81	-6.97	2.50	
4.34	0.19	-9.42	2.51	-0.11	-4.29	-10.93	-6.79	2.45	
4.09	-0.63	-9.37	2.41	-0.23	-4.31	-11.01	-6.68	2.42	
3.93	-1.16	-9.34	2.35	-0.31	-4.33	-11.06	-6.60	2.39	
3.82	-1.51	-9.32	2.31	-0.36	-4.34	-11.10	-6.55	2.38	
3.78	-1.30	-9.27	1.91	-0.40	-4.34	-11.12	-6.52	2.37	
3.76	-1.16	-9.24	1.65	-0.42	-4.35	-11.13	-6.50	2.36	
3.74	-1.08	-9.22	1.49	-0.44	-4.35	-11.14	-6.49	2.36	
3.73	-1.02	-9.21	1.38	-0.45	-4.35	-11.15	-6.48	2.36	
3.35	-1.33	-9.12	1.17	-0.47	-4.35	-11.15	-6.47	2.36	
3.10	-1.53	-9.07	1.03	-0.48	-4.35	-11.16	-6.47	2.35	
2.94	-1.66	-9.03	0.94	-0.49	-4.35	-11.16	-6.47	2.35	
2.86	-1.79	-8.78	0.73	-0.42	-4.35	-11.16	-6.47	2.35	
2.81	-1.87	-8.62	0.59	-0.37	-4.35	-11.16	-6.47	2.35	
2.78	-1.93	-8.52	0.50	-0.34	-4.35	-11.16	-6.46	2.35	
2.76	-1.97	-8.45	0.44	-0.33	-4.35	-11.16	-6.46	2.35	
2.70	-1.89	-8.79	0.29	-0.25	-1.48	-11.16	-6.46	2.35	
2.67	-1.84	-9.02	0.19	-0.20	0.39	-11.16	-6.46	2.35	
2.65	-1.81	-9.16	0.12	-0.17	1.60	-11.16	-6.46	2.35	
2.66	-2.05	-9.36	0.01	-0.12	2.04	-8.48	0.04	3.11	
2.67	-2.20	-9.49	-0.07	-0.09	2.33	-6.75	4.27	3.60	
2.68	-2.30	-9.58	-0.11	-0.07	2.52	-5.61	7.02	3.92	
2.68	-2.36	-9.63	-0.14	-0.05	2.64	-4.88	8.81	4.13	
2.57	-2.19	-9.50	-0.26	-0.04	2.63	-4.40	9.97	4.26	
2.50	-2.08	-9.41	-0.34	-0.03	2.62	-4.09	10.72	4.35	
2.45	-2.01	-9.36	-0.39	-0.02	2.61	-3.89	11.21	4.41	
2.42	-1.97	-9.32	-0.43	-0.02	2.61	-3.76	11.53	4.44	
2.36	-2.10	-9.32	-0.41	0.02	2.65	-3.67	11.74	4.47	
2.31	-2.19	-9.32	-0.40	0.04	2.67	-3.62	11.88	4.48	
2.29	-2.25	-9.32	-0.39	0.06	2.69	-3.58	11.96	4.49	
2.15	-2.07	-9.28	-0.36	0.07	2.84	-3.56	12.02	4.50	
2.06	-1.96	-9.25	-0.34	0.08	2.94	-3.54	12.06	4.50	
2.00	-1.89	-9.23	-0.32	0.09	3.01	-3.53	12.08	4.51	
1.97	-1.84	-9.22	-0.31	0.09	3.05	-3.53	12.10	4.51	
1.94	-2.10	-9.25	-0.24	0.14	3.00	-3.52	12.11	4.51	
1.92	-2.26	-9.27	-0.20	0.17	2.96	-3.52	12.11	4.51	
1.91	-2.37	-9.28	-0.17	0.19	2.94	-3.52	12.12	4.51	
1.87	-2.34	-9.34	-0.17	0.21	2.97	-3.52	12.12	4.51	
1.84	-2.31	-9.37	-0.16	0.23	2.99	-3.52	12.12	4.51	
1.83	-2.29	-9.40	-0.16	0.24	3.00	-3.52	12.12	4.51	
1.81	-2.28	-9.41	-0.16	0.24	3.01	-3.52	12.12	4.51	
1.82	-2.42	-9.47	-0.19	0.27	2.99	-0.34	13.67	5.05	
1.82	-2.51	-9.51	-0.21	0.28	2.98	1.72	14.68	5.40	
1.82	-2.57	-9.53	-0.23	0.29	2.98	3.06	15.34	5.63	
1.82	-2.61	-9.55	-0.24	0.30	2.97	3.93	15.76	5.78	
1.80	-1.62	-9.30	-0.29	0.33	2.85	4.50	16.04	5.88	
1.79	-0.98	-9.14	-0.33	0.36	2.77	4.87	16.22	5.94	
1.78	-0.56	-9.04	-0.35	0.37	2.72	5.11	16.33	5.98	
2.12	-0.23	-8.89	-0.25	0.37	2.41	5.26	16.41	6.01	
2.35	-0.02	-8.79	-0.18	0.38	2.20	5.36	16.46	6.02	
2.49	0.12	-8.73	-0.13	0.38	2.07	5.43	16.49	6.03	
2.59	0.20	-8.69	-0.10	0.38	1.99	5.47	16.51	6.04	
2.87	-0.61	-8.78	-0.05	0.36	2.07	5.50	16.53	6.05	
3.05	-1.14	-8.84	-0.02	0.35	2.13	5.52	16.54	6.05	
3.17	-1.48	-8.88	0.00	0.35	2.17	5.53	16.54	6.05	
3.25	-1.71	-8.91	0.02	0.34	2.19	5.54	16.54	6.05	
2.79	-1.91	-8.99	0.09	0.33	2.03	5.54	16.55	6.05	
2.48	-2.05	-9.05	0.14	0.31	1.92	5.54	16.55	6.05	
2.29	-2.14	-9.08	0.17	0.31	1.85	5.55	16.55	6.05	
2.11	-2.37	-9.26	0.24	0.29	1.56	5.55	16.55	6.05	
2.00	-2.53	-9.37	0.28	0.28	1.37	5.55	16.55	6.05	
1.92	-2.63	-9.45	0.31	0.27	1.25	5.55	16.55	6.05	
1.87	-2.69	-9.49	0.33	0.27	1.17	5.55	16.55	6.05	
1.73	-1.84	-9.31	0.21	0.20	1.30	7.48	17.39	4.87	
1.63	-1.28	-9.19	0.13	0.15	1.38	8.73	17.94	4.09	
1.57	-0.91	-9.11	0.08	0.13	1.44	9.55	18.29	3.59	
1.60	-1.61	-9.31	0.12	0.11	1.26	10.08	18.53	3.27	
1.61	-2.07	-9.44	0.14	0.09	1.14	10.42	18.68	3.06	
1.62	-2.36	-9.52	0.15	0.09	1.07	10.65	18.77	2.92	
1.63	-2.55	-9.58	0.16	0.08	1.02	10.79	18.84	2.83	
1.61	-4.00	-9.79	0.12	0.06	1.00	10.89	18.88	2.77	
1.60	-4.94	-9.93	0.09	0.05	1.00	10.95	18.90	2.73	
1.60	-5.55	-10.02	0.08	0.04	0.99	10.99	18.92	2.71	
1.60	-5.95	-10.08	0.07	0.03	0.99	11.01	18.93	2.69	
1.52	-4.29	-9.63	-0.06	0.01	1.17	11.03	18.94	2.68	
1.48	-3.22	-9.34	-0.14	-0.00	1.29	11.04	18.95	2.67	
1.45	-2.51	-9.15	-0.19	-0.01	1.37	11.05	18.95	2.67	
1.60	-2.61	-9.22	-0.12	0.05	1.14	11.05	18.95	2.67	
1.70	-2.68	-9.26	-0.08	0.09	0.99	11.06	18.95	2.66	
1.77	-2.72	-9.29	-0.05	0.12	0.89	11.06	18.95	2.66	
1.81	-2.75	-9.31	-0.03	0.14	0.82	11.06	18.95	2.66	
1.87	-2.71	-9.25	-0.05	0.13	0.68	11.06	18.95	2.66	
1.91	-2.68	-9.22	-0.07	0.13	0.59	11.06	18.95	2.66	
1.93	-2.67	-9.19	-0.07	0.12	0.53	11.06	18.95	2.66	
1.93	-2.58	-9.10	-0.09	0.10	0.43	12.12	19.18	2.77	
1.93	-2.53	-9.05	-0.11	0.08	0.37	12.81	19.32	2.84	
1.93	-2.49	-9.01	-0.11	0.07	0.33	13.25	19.41	2.89	
1.93	-2.47	-8.99	-0.12	0.06	0.31	13.54	19.47	2.91	
1.88	-2.51	-9.02	-0.12	0.03	0.22	13.73	19.51	2.93	
1.84	-2.54	-9.04	-0.12	0.02	0.17	13.86	19.54	2.95	
1.82	-2.56	-9.06	-0.12	0.01	0.14	13.94	19.56	2.95	
1.81	-2.58	-9.07	-0.12	0.00	0.11	13.99	19.57	2.96	
1.71	-2.52	-9.10	-0.12	-0.03	0.05	14.02	19.57	2.96	
1.65	-2.49	-9.13	-0.12	-0.05	0.01	14.04	19.58	2.97	
1.60	-2.47	-9.14	-0.12	-0.07	-0.02	14.06	19.58	2.97	
1.60	-2.07	-9.10	-0.16	-0.05	-0.22	14.07	19.58	2.97	
1.60	-1.82	-9.07	-0.19	-0.05	-0.34	14.07	19.58	2.97	
1.60	-1.65	-9.06	-0.21	-0.04	-0.42	14.08	19.59	2.97	
1.60	-1.54	-9.04	-0.22	-0.04	-0.48	14.08	19.59	2.97	
1.74	-0.82	-9.11	-0.20	0.04	-1.34	14.08	19.59	2.97	
1.83	-0.35	-9.15	-0.19	0.09	-1.90	14.08	19.59	2.97	
1.89	-0.05	-9.17	-0.18	0.12	-2.27	14.08	19.59	2.97	
2.16	-0.66	-9.48	-0.12	0.21	-3.00	14.08	19.59	2.97	
2.34	-1.05	-9.68	-0.08	0.27	-3.47	14.08	19.59	2.97	
2.46	-1.31	-9.81	-0.06	0.31	-3.78	14.08	19.59	2.97	
2.53	-1.48	-9.89	-0.04	0.34	-3.98	14.08	19.59	2.97	
2.55	-1.95	-9.62	-0.04	0.24	-4.11	14.08	19.59	2.97	
2.56	-2.25	-9.44	-0.03	0.17	-4.20	14.08	19.59	2.97	
2.57	-2.45	-9.33	-0.03	0.13	-4.25	14.08	19.59	2.97	
2.58	-2.58	-9.25	-0.03	0.10	-4.29	14.08	19.59	2.97	
3.13	-2.38	-9.24	0.12	0.14	-4.31	9.23	18.08	3.19	
3.49	-2.24	-9.23	0.22	0.17	-4.33	6.08	17.10	3.33	
3.72	-2.16	-9.22	0.28	0.19	-4.34	4.03	16.47	3.42	
3.69	-2.10	-9.08	0.37	0.11	-4.34	2.69	16.05	3.48	
3.66	-2.06	-9.00	0.42	0.05	-4.35	1.83	15.79	3.52	
3.64	-2.04	-8.94	0.46	0.02	-4.35	1.26	15.61	3.54	
3.63	-2.02	-8.90	0.49	-0.01	-4.35	0.90	15.50	3.56	
3.48	-1.97	-8.95	0.42	0.00	-4.35	0.66	15.42	3.57	
3.38	-1.94	-8.99	0.38	0.01	-4.35	0.50	15.38	3.57	
3.31	-1.92	-9.01	0.35	0.01	-4.35	0.40	15.34	3.58	
3.69	-1.39	-9.03	0.13	0.09	-4.35	0.34	15.32	3.58	
3.93	-1.05	-9.05	-0.01	0.14	-4.35	0.30	15.31	3.58	
4.09	-0.83	-9.05	-0.10	0.17	-4.35	0.27	15.30	3.58	
4.19	-0.68	-9.06	-0.16	0.19	-4.35	0.25	15.30	3.59	
4.02	-0.58	-9.00	-0.24	0.12	-4.35	0.24	15.29	3.59	
3.90	-0.52	-8.97	-0.28	0.08	-4.35	0.23	15.29	3.59	
